keys,es
Press: 'It comes down to nerve' — {mgr} on our tie,"Prensa: «Se decidirá por los nervios» — {mgr}, sobre nuestro duelo"
Press: {mgr} refuses to give an inch before {short} battle,Prensa: {mgr} no cede ni un palmo antes del combate con el {short}
Press: war of words — {mgr} has plenty to say about us,Prensa: guerra de declaraciones — {mgr} tiene mucho que decir de nosotros
Press: {mgr} lights the fuse for the {short} meeting,Prensa: {mgr} enciende la mecha del duelo con el {short}
"Speaking to {paper}, {mgr} had plenty to say about the upcoming tie.","En declaraciones a {paper}, {mgr} tuvo mucho que decir sobre el próximo duelo."
{mgr} went on the record with {paper} ahead of the meeting.,{mgr} habló para {paper} antes del encuentro.
The back pages belong to {mgr} this morning — and the subject is us.,La contraportada de esta mañana es de {mgr}... y el tema somos nosotros.
{paper} carries some pointed pre-match comments from {mgr}.,{paper} recoge unas declaraciones prepartido bastante afiladas de {mgr}.
{mgr} used a {paper} interview to talk about our tie.,{mgr} aprovechó una entrevista en {paper} para hablar de nuestro duelo.
"Pre-match noise: {mgr} has been talking, and {paper} printed every word.","Ruido de previa: {mgr} ha hablado, y {paper} ha publicado cada palabra."
Your response makes the back page — the squad walks taller in training (morale +3 across the squad).,Tu respuesta llega a la contraportada; la plantilla camina más erguida en los entrenamientos (moral +3 para toda la plantilla).
"You give as good as we got, and the dressing room loves it (morale +3 across the squad).","Devuelves el golpe con la misma moneda, y al vestuario le encanta (moral +3 para toda la plantilla)."
Your counter-punch lands cleanly in print — training crackles the next morning (morale +3 across the squad).,Tu contragolpe aterriza limpio en la prensa; el entrenamiento del día siguiente echa chispas (moral +3 para toda la plantilla).
The papers call it 'a manager defending their own' — the squad noticed (morale +3 across the squad).,Los periódicos lo llaman «un entrenador defendiendo a los suyos»; la plantilla lo ha notado (moral +3 para toda la plantilla).
The exchange rattles the dressing room — some battlers look tense in training (morale -2 across the squad).,El cruce de declaraciones sacude el vestuario; algunos combatientes se ven tensos entrenando (moral -2 para toda la plantilla).
It reads worse in print than it sounded in your head — a few heads drop (morale -2 across the squad).,Impreso queda peor de lo que sonaba en tu cabeza; algunas cabezas se agachan (moral -2 para toda la plantilla).
The row escalates and the squad feels the heat meant for you (morale -2 across the squad).,La bronca escala y la plantilla siente el calor que iba dirigido a ti (moral -2 para toda la plantilla).
Your reply hands them tomorrow's headline too — the group tightens up (morale -2 across the squad).,Tu réplica les regala también el titular de mañana; el grupo se agarrota (moral -2 para toda la plantilla).
You turn the question into public praise of your own squad (morale +1 across the squad). {mgr} got no reaction.,Conviertes la pregunta en un elogio público a tu plantilla (moral +1 para toda la plantilla). {mgr} no obtuvo reacción.
You sidestep the bait and talk up your battlers instead (morale +1 across the squad). {mgr} is left shadow-boxing.,Esquivas el anzuelo y hablas bien de tus combatientes (moral +1 para toda la plantilla). {mgr} se queda boxeando contra su sombra.
"Classy, measured, and quietly pointed — your squad appreciates it (morale +1 across the squad). {mgr} got nothing back.","Con clase, mesura y una punta discreta; tu plantilla lo agradece (moral +1 para toda la plantilla). {mgr} no se llevó nada."
"You make it about your own group, not the noise (morale +1 across the squad). {mgr}'s jab dies unanswered.","Lo centras en tu grupo, no en el ruido (moral +1 para toda la plantilla). El golpe de {mgr} muere sin respuesta."
"No comment. The story dies by the weekend — and the squad takes its cue from the match, not the papers.","Sin comentarios. La historia muere antes del fin de semana, y la plantilla se guía por el partido, no por los periódicos."
You let silence do the talking. By the weekend it's yesterday's news.,Dejas que hable el silencio. Para el fin de semana ya es noticia vieja.
Not a word. Some fights aren't worth the ink.,Ni una palabra. Hay peleas que no merecen la tinta.
"You promise {name} a proper run — {target} battles inside the next four weeks. Morale {b} » {a}. The coaches will hold you to it, and so will this inbox.","Le prometes a {name} una racha de verdad: {target} combates en las próximas cuatro semanas. Moral {b} » {a}. Los entrenadores te tomarán la palabra, y esta bandeja también."
Your word is given: {target} battles for {name} within four weeks (morale {b} » {a}). Break it and the whole squad will know.,Has dado tu palabra: {target} combates para {name} en cuatro semanas (moral {b} » {a}). Rómpela y toda la plantilla lo sabrá.
{name} leaves your office with a promise: {target} battles by {deadline}. Morale {b} » {a}. Promises here are tracked.,{name} sale de tu despacho con una promesa: {target} combates antes del {deadline}. Moral {b} » {a}. Aquí las promesas se registran.
You tell {name} to earn the shirt in training. Morale {b} » {a} — a gamble on their character.,Le dices a {name} que se gane el puesto entrenando. Moral {b} » {a}: una apuesta por su carácter.
"No guarantees, you say — form picks the team. {name} takes it badly for now (morale {b} » {a}).","Nada de garantías, dices: la forma elige el equipo. {name} se lo toma mal, de momento (moral {b} » {a})."
You back the coaches' selection and tell {name} so. Morale {b} » {a}; time will judge the call.,Respaldas la alineación de los entrenadores y se lo dices a {name}. Moral {b} » {a}; el tiempo juzgará la decisión.
You pass on the praise personally. {name}'s morale {b} » {a}.,Transmites el elogio en persona. Moral de {name}: {b} » {a}.
"A word from the manager, delivered in front of the group — {name} beams (morale {b} » {a}).","Unas palabras del entrenador, delante del grupo; {name} se ilumina (moral {b} » {a})."
"You make sure {name} hears it from you, not the corridor. Morale {b} » {a}.","Te aseguras de que {name} lo oiga de ti, no del pasillo. Moral {b} » {a}."
You keep the praise in-house — no complacency here. Morale {b} » {a}.,Guardas el elogio de puertas adentro: aquí no hay autocomplacencia. Moral {b} » {a}.
"Quiet approval, nothing more; standards stay standards. Morale {b} » {a}.","Aprobación discreta, nada más; el listón sigue donde estaba. Moral {b} » {a}."
You bank the praise for when it's needed. Morale {b} » {a}.,Te guardas el elogio para cuando haga falta. Moral {b} » {a}.
Nobody outside the {pcs} dressing room saw this coming. A club with a reputation of {prep}/20 dismantling [b]{opp}[/b] ({orep}/20) by {us}-{them} is the kind of result that changes how a league talks about you. {mgr}'s side played without fear — and the giants blinked first.,Nadie fuera del vestuario del {pcs} vio venir esto. Que un club con reputación {prep}/20 desarme a [b]{opp}[/b] ({orep}/20) por {us}-{them} es de esos resultados que cambian cómo habla de ti una liga. El equipo de {mgr} jugó sin miedo... y los gigantes parpadearon primero.
"Put the coffee down and read that scoreline again: {pcs} {us}, {opp} {them}. The reputation charts say this should not happen. It happened, and {opp} have no complaints worth printing.","Deja el café y vuelve a leer ese marcador: {pcs} {us}, {opp} {them}. Las tablas de reputación dicen que esto no debería pasar. Pasó, y {opp} no tiene quejas que merezcan tinta."
"Giant-killing is a craft, and [b]{pc}[/b] just published a masterclass. {opp} arrived as heavy favourites and left {us}-{them} losers, out-planned in every exchange that mattered.","Tumbar gigantes es un oficio, y [b]{pc}[/b] acaba de publicar una lección magistral. {opp} llegó como claro favorito y se marchó derrotado {us}-{them}, superado en el plan en cada intercambio que importó."
"The bigger the name, the louder the fall. {opp} — reputation {orep}/20, wage bill to match — were beaten {us}-{them} by a {pcs} side that refused to be a footnote. {mgr} will not say 'I told you so'. This column will.","Cuanto más grande el nombre, más ruidosa la caída. {opp} —reputación {orep}/20 y masa salarial a juego— cayó {us}-{them} ante un {pcs} que se negó a ser una nota al pie. {mgr} no dirá «os lo dije». Esta columna, sí."
"There are wins, and there are statements. {pcs} {us}-{them} {opp} is a statement — the kind that makes every manager in the league re-read their scouting file on {pc}.","Hay victorias, y hay declaraciones de intenciones. El {pcs} {us}-{them} {opp} es una declaración: de las que obligan a cada entrenador de la liga a releer su informe sobre {pc}."
"How do you beat a club {gap} reputation points above you? Ask {mgr}, because {pc} just wrote the manual against {opp}: discipline early, courage late, and a scoreline — {us}-{them} — that will follow the favourites around for months.","¿Cómo se gana a un club con {gap} puntos más de reputación? Pregúntale a {mgr}, porque {pc} acaba de escribir el manual contra {opp}: disciplina al principio, valentía al final y un marcador —{us}-{them}— que perseguirá a los favoritos durante meses."
"{opp} were supposed to be a class apart. For long stretches they could not get near {pcs}, and the {us}-{them} result flattered nobody — least of all the favourites.","{opp} venía siendo, en teoría, de otra categoría. Durante largos tramos no pudo ni acercarse al {pcs}, y el {us}-{them} no maquilló nada... y menos a los favoritos."
"Upsets usually need luck. This one needed none. {pc} beat {opp} {us}-{them} on merit, on preparation and on nerve — and the league table suddenly reads very differently.","Las sorpresas suelen necesitar suerte. Esta no necesitó ninguna. {pc} venció a {opp} {us}-{them} por méritos, preparación y temple... y de pronto la tabla se lee muy distinta."
"There is no dressing this up. [b]{pc}[/b] (reputation {prep}/20) were beaten {them}-{us} by {opp} ({orep}/20) — a side they were built, budgeted and expected to beat. Questions travel fast in this league, and today they are all pointed at {mgr}'s office.","No hay forma de maquillarlo. [b]{pc}[/b] (reputación {prep}/20) cayó {them}-{us} ante {opp} ({orep}/20), un rival al que estaba construido, presupuestado y llamado a ganar. Las preguntas viajan rápido en esta liga, y hoy todas apuntan al despacho de {mgr}."
"Supporters will use stronger words than this column is allowed to. {pcs} lost {them}-{us} to {opp}, a club they out-rank, out-earn and — on this evidence — cannot out-battle.","La afición usará palabras más gruesas de las que se permiten en esta columna. El {pcs} perdió {them}-{us} ante {opp}, un club al que supera en rango y en nómina y al que, a la vista de esto, no supera combatiendo."
"Reputation {prep}/20. Resources to match. And a {them}-{us} defeat to {opp} that nobody at {pc} can explain, least of all the manager paid to prevent it.","Reputación {prep}/20. Recursos a la altura. Y una derrota {them}-{us} ante {opp} que nadie en {pc} sabe explicar, y menos el entrenador al que pagan por evitarla."
"Bad days happen. What happened to {pcs} against {opp} was not a bad day — it was a warning. {them}-{us}, second-best in every exchange, and a dressing room with plenty to think about.","Los días malos existen. Lo del {pcs} contra {opp} no fue un día malo: fue un aviso. {them}-{us}, segundos en cada intercambio y un vestuario con mucho en que pensar."
"If you want to know how a season unravels, it starts with afternoons like this: {pc} beaten {them}-{us} by {opp}, favourites in name only, and a manager suddenly answering questions instead of asking them.","Si quieres saber cómo se deshace una temporada, empieza con tardes así: {pc} derrotado {them}-{us} por {opp}, favorito solo de nombre, y un entrenador que de pronto responde preguntas en vez de hacerlas."
"The league table does not care about reputations, and neither, evidently, do {opp}. Their {them}-{us} win over {pcs} was thoroughly earned — which is precisely what should worry {mgr}.","A la tabla no le importan las reputaciones y, por lo visto, a {opp} tampoco. Su {them}-{us} sobre el {pcs} fue merecido de principio a fin... que es exactamente lo que debería preocupar a {mgr}."
"Call it a shock if you like. Around {opps} they are calling it inevitable — they saw a flat {pc} side coming, and took them for {them}-{us}.",Llámalo sorpresa si quieres. En el entorno del {opps} lo llaman inevitable: vieron venir a un {pc} plano y se lo llevaron por {them}-{us}.
"Some defeats are noise. This one — {them}-{us} to {opp}, a club {pc} are supposed to look down on — is signal. The board will say the right things publicly. Privately, they counted every battle.","Hay derrotas que son ruido. Esta —{them}-{us} ante {opp}, un club al que {pc} debería mirar desde arriba— es señal. La directiva dirá lo correcto en público. En privado, contó cada combate."
"The cup run is alive. [b]{pc}[/b] saw off {opp} {us}-{them} in the {round}, and the draw for the {next_round} suddenly matters a great deal in this corner of the league.","La andadura copera sigue viva. [b]{pc}[/b] despachó a {opp} {us}-{them} en la {round}, y el sorteo de la {next_round} importa de repente mucho en este rincón de la liga."
"Cup battles reward nerve, and {pcs} showed plenty of it — {opp} dispatched {us}-{them}, a place in the {next_round} secured, and a support daring to whisper about silverware.","La copa premia el temple, y al {pcs} le sobró: {opp} despachado {us}-{them}, plaza asegurada en la {next_round} y una afición que ya se atreve a susurrar la palabra título."
"Tick another round off. {pc} handled {opp} {us}-{them} in the {round}, and handled is the right word: professional, controlled, never truly threatened.","Otra ronda tachada. {pc} manejó a {opp} {us}-{them} en la {round}, y manejar es la palabra: profesional, controlado, nunca realmente amenazado."
"The romance of the cup usually belongs to someone else. Not this year, perhaps: {pcs} beat {opp} {us}-{them} and march into the {next_round} with genuine momentum.",El romanticismo de la copa suele ser de otros. Quizá este año no: el {pcs} venció a {opp} {us}-{them} y entra en la {next_round} con impulso de verdad.
"Knockout ties have a way of exposing soft squads. {pc} are not one of them — {opp} were beaten {us}-{them} in the {round}, and the {next_round} awaits.","Las eliminatorias tienen la costumbre de desnudar a las plantillas blandas. {pc} no es una de ellas: {opp} cayó {us}-{them} en la {round}, y la {next_round} espera."
"A {us}-{them} win over {opp}, a spot in the {next_round}, and a manager refusing to talk about the final. Managers always refuse. Supporters never do.","Un {us}-{them} sobre {opp}, un puesto en la {next_round} y un entrenador que se niega a hablar de la final. Los entrenadores siempre se niegan. Las aficiones, nunca."
The {round} is where cup runs usually go to die. {pcs} walked out of theirs with a {us}-{them} win over {opp} and the sound of a support starting to believe.,La {round} es donde suelen morir las andaduras coperas. El {pcs} salió de la suya con un {us}-{them} sobre {opp} y el sonido de una afición que empieza a creer.
"Write it down: {pc} are in the {next_round}. {opp} pushed, probed and were seen off {us}-{them} — the mark of a side that has decided this competition is worth winning.","Apúntalo: {pc} está en la {next_round}. {opp} apretó, tanteó y fue despedido {us}-{them}: la marca de un equipo que ha decidido que esta competición merece ganarse."
"[b]{streak} wins in a row.[/b] Streaks like this are not luck — they are structure, squad depth and a dugout that trusts itself. {pc} made it {streak} straight by beating {opp} {us}-{them}, and the chasing pack has noticed.","[b]{streak} victorias seguidas.[/b] Rachas así no son suerte: son estructura, fondo de plantilla y un banquillo que confía en sí mismo. {pc} llegó a {streak} seguidas al vencer a {opp} {us}-{them}, y el grupo perseguidor ha tomado nota."
"The number of the week is {streak}. That is how many consecutive matches {pcs} have now won after seeing off {opp} {us}-{them}, and nobody else in the league is enjoying the arithmetic.","El número de la semana es {streak}. Esos son los partidos consecutivos que ya ha ganado el {pcs} tras despachar a {opp} {us}-{them}, y a nadie más en la liga le divierte la aritmética."
"Form is temporary, they say. Somebody should tell {pc}, whose {us}-{them} win over {opp} stretched the run to {streak} — and whose battlers look sharper with every week.","La forma es pasajera, dicen. Que alguien se lo cuente a {pc}, cuyo {us}-{them} sobre {opp} estiró la racha hasta {streak}... y cuyos combatientes se ven más finos cada semana."
"Ask around the league who nobody wants to face right now and you get one answer: {pcs}. Victory number {streak} in succession arrived {us}-{them} against {opp}, and it barely raised a sweat.","Pregunta por la liga a quién no quiere enfrentarse nadie ahora mismo y la respuesta es una: el {pcs}. La victoria número {streak} consecutiva llegó {us}-{them} contra {opp}, y apenas les hizo sudar."
"Win one, fine. Win two, form. Win {streak} in a row — as {pc} just did by beating {opp} {us}-{them} — and you are officially a problem the rest of the league has to solve.","Ganar una, vale. Ganar dos, racha. Ganar {streak} seguidas —como acaba de hacer {pc} al vencer a {opp} {us}-{them}— te convierte oficialmente en un problema que el resto de la liga tiene que resolver."
"There is a hum around the {pcs} training ground these days, and results like this are why: {opp} beaten {us}-{them}, a {streak}-match winning run, and a squad that plainly believes.","Estos días se nota un zumbido en la ciudad deportiva del {pcs}, y resultados así son el motivo: {opp} batido {us}-{them}, una racha de {streak} victorias y una plantilla que claramente cree."
"Consistency is the rarest currency in this league, and {pc} are printing it: {streak} wins on the spin after a {us}-{them} handling of {opp}.","La regularidad es la moneda más rara de esta liga, y {pc} la está imprimiendo: {streak} victorias del tirón tras manejar {us}-{them} a {opp}."
The streak lives. {pcs} {us}-{them} {opp} makes it {streak} straight wins — and the conversation around the league has quietly shifted from 'good run' to 'genuine contenders'.,La racha vive. El {pcs} {us}-{them} {opp} deja {streak} victorias seguidas... y la conversación en la liga ha pasado en voz baja de «buena racha» a «aspirantes de verdad».
"They will sing about this one for years. [b]{pc}[/b] beat {opp} {us}-{them} in the Indigo Cup Final and the trophy is theirs. Whatever happens in the league now, this season is already immortal.","Esta la cantarán durante años. [b]{pc}[/b] venció a {opp} {us}-{them} en la Final de la Copa Añil y el trofeo es suyo. Pase lo que pase ya en la liga, esta temporada es inmortal."
"Champions. Say it slowly, {pcs} supporters — you have waited long enough. {opp} were beaten {us}-{them} in the Final, and the Indigo Cup is coming home.","Campeones. Decidlo despacio, aficionados del {pcs}: habéis esperado bastante. {opp} cayó {us}-{them} en la Final, y la Copa Añil vuelve a casa."
"The Indigo Cup Final asked every question a final can ask, and {pc} answered all of them. {opp} beaten {us}-{them}; a trophy lifted; a place in club history sealed.","La Final de la Copa Añil planteó todas las preguntas que puede plantear una final, y {pc} las respondió todas. {opp} batido {us}-{them}; un trofeo levantado; un lugar sellado en la historia del club."
Forget the tactics board for one night. {pcs} are cup winners — {us}-{them} over {opp} — and the celebrations you can hear from three districts away are entirely earned.,Olvida la pizarra por una noche. El {pcs} es campeón de copa —{us}-{them} sobre {opp}— y la celebración que se oye a tres distritos está más que merecida.
"Finals are won by squads that hold their nerve, and nobody held it better than {pc}. The {us}-{them} defeat of {opp} crowns a run this column doubted more than once. We were wrong.","Las finales las ganan las plantillas que aguantan el pulso, y nadie lo aguantó mejor que {pc}. El {us}-{them} sobre {opp} corona una andadura de la que esta columna dudó más de una vez. Nos equivocamos."
"One day this squad will be grainy footage and fond exaggeration. Tonight it is simply the best knockout side in the league: {pcs} {us}-{them} {opp}, Indigo Cup winners.","Algún día esta plantilla será metraje granulado y exageración cariñosa. Esta noche es, simplemente, el mejor equipo copero de la liga: {pcs} {us}-{them} {opp}, campeones de la Copa Añil."
"The medal does not care how you got there. But the manner of it — {opp} beaten {us}-{them} in the Final — means {pc} will be remembered as worthy champions, not lucky ones.","A la medalla no le importa cómo llegaste. Pero las formas —{opp} batido {us}-{them} en la Final— harán que a {pc} se le recuerde como campeón digno, no afortunado."
"Every trophy tells a story. This one tells of a {pcs} side that refused to blink on the biggest stage, beating {opp} {us}-{them} to lift the Indigo Cup.",Cada trofeo cuenta una historia. Este cuenta la de un {pcs} que se negó a parpadear en el mayor escenario y venció a {opp} {us}-{them} para levantar la Copa Añil.
Gazette: {pcs} stun {opp} in the shock of the season,Gazette: el {pcs} deja helado a {opp} en la sorpresa de la temporada
Gazette: giant-killing — {pcs} topple {opp},Gazette: caza de gigantes — el {pcs} derriba a {opp}
Gazette: {opp} humbled by fearless {pcs},"Gazette: {opp}, humillado por un {pcs} sin miedo"
Gazette: the upset nobody saw coming — {pcs} beat {opp},Gazette: la sorpresa que nadie vio venir — el {pcs} gana a {opp}
Gazette: {pcs} tear up the script against {opp},Gazette: el {pcs} rompe el guion contra {opp}
Gazette verdict: {pcs} humbled by {opps},"Veredicto de la Gazette: el {pcs}, humillado por el {opps}"
Gazette verdict: no excuses for {pcs} after {opps} defeat,Veredicto de la Gazette: sin excusas para el {pcs} tras caer con el {opps}
Gazette verdict: alarm bells at {pcs} after {opps} loss,Veredicto de la Gazette: alarmas en el {pcs} tras la derrota con el {opps}
Gazette verdict: {opps} expose a flat {pcs},Veredicto de la Gazette: el {opps} desnuda a un {pcs} plano
Gazette verdict: a defeat {pcs} cannot explain away,Veredicto de la Gazette: una derrota que el {pcs} no puede justificar
Cup fever: {pcs} march into the {next_round},Fiebre de copa: el {pcs} desfila hacia la {next_round}
Cup fever: {pcs} book their place in the {next_round},Fiebre de copa: el {pcs} sella su plaza en la {next_round}
Cup fever: {pcs} keep the run alive against {opps},Fiebre de copa: el {pcs} mantiene viva la andadura ante el {opps}
Cup fever: {pcs} through — and dreaming of more,Fiebre de copa: el {pcs} pasa... y sueña con más
Cup fever: no slip-ups as {pcs} reach the {next_round},"Fiebre de copa: sin tropiezos, el {pcs} alcanza la {next_round}"
{streak} and counting — the league is talking about {pc},{streak} y sumando: la liga habla de {pc}
Make it {streak} straight: {pcs} roll on,Ya van {streak} seguidas: el {pcs} sigue rodando
Unstoppable? {pcs} win number {streak} in a row,¿Imparable? El {pcs} suma la victoria número {streak} consecutiva
The {pcs} machine: {streak} consecutive wins,La máquina del {pcs}: {streak} victorias consecutivas
Who stops {pcs}? The winning run hits {streak},¿Quién para al {pcs}? La racha llega a {streak}
"""Immortals"" — {pc} lift the Indigo Cup",«Inmortales»: {pc} levanta la Copa Añil
Champions! {pc} win the Indigo Cup,¡Campeones! {pc} gana la Copa Añil
Glory night: {pc} are Indigo Cup winners,"Noche de gloria: {pc}, campeón de la Copa Añil"
History made — the Indigo Cup belongs to {pc},Historia escrita: la Copa Añil es de {pc}
{pc} crowned: the Indigo Cup Final was theirs,"{pc}, coronado: la Final de la Copa Añil fue suya"
{jn} reacts to the result in {paper}.,{jn} reacciona al resultado en {paper}.
"{jn}'s verdict on the result, in {paper}.","El veredicto de {jn} sobre el resultado, en {paper}."
The morning-after column from {jn} in {paper}.,"La columna de la mañana siguiente, por {jn}, en {paper}."
{paper} devotes its back page to our result — byline: {jn}.,{paper} dedica su contraportada a nuestro resultado. Firma: {jn}.
{jn} files a pointed reaction piece for {paper}.,{jn} firma una reacción afilada para {paper}.
"Boss — a quiet word before this becomes a loud one. [b]{name}[/b] ({species}, Lv {level}) has featured in [b]{apps} of our {cm}[/b] matches this season. The mood around the training pens is turning: less appetite in drills, snapping at the younger battlers. In my experience this only goes one way if it's left alone.","Jefe: unas palabras en voz baja antes de que esto suba de tono. [b]{name}[/b] ({species}, Nv. {level}) ha participado en [b]{apps} de nuestros {cm}[/b] partidos esta temporada. El ambiente en los rediles de entrenamiento se está torciendo: menos apetito en los ejercicios y malas contestaciones a los jóvenes. Por experiencia, esto solo va en una dirección si se deja estar."
"Boss — you pay me to flag problems early, so here it is. [b]{name}[/b] ({species}, Lv {level}) has made just [b]{apps} appearances in {cm}[/b] matches, and it shows: half-effort in sparring, first out of the gym every evening. We are close to losing the room on this one.","Jefe: me pagas por avisar de los problemas a tiempo, así que aquí va. [b]{name}[/b] ({species}, Nv. {level}) suma solo [b]{apps} participaciones en {cm}[/b] partidos, y se nota: medio esfuerzo en los combates de práctica y el primero en salir del gimnasio cada tarde. Estamos cerca de perder el vestuario con este tema."
"Boss — {name} cornered me after training today. [b]{apps} of {cm}[/b] matches is the number they keep repeating, and frankly I ran out of answers. A {species} of that level expects to battle, and the rest of the squad is watching how you handle it.","Jefe: {name} me ha acorralado hoy después del entrenamiento. [b]{apps} de {cm}[/b] partidos es la cifra que no deja de repetir y, francamente, me quedé sin respuestas. Un {species} de ese nivel espera combatir, y el resto de la plantilla está mirando cómo lo gestionas."
"Boss — I don't like carrying tales, but this one matters. [b]{name}[/b] ({species}, Lv {level}) has gone [b]{apps} for {cm}[/b] on selection this season, and the sulk has moved from the pens to the canteen. Left alone, this infects the whole group.","Jefe: no me gusta ir con cuentos, pero este importa. [b]{name}[/b] ({species}, Nv. {level}) lleva [b]{apps} de {cm}[/b] en las alineaciones de esta temporada, y el enfurruñamiento ha pasado de los rediles a la cantina. Si se deja estar, infecta a todo el grupo."
"Boss — short version: [b]{name}[/b] wants battles. Long version: [b]{apps} appearances from {cm}[/b] matches, a training intensity that has dropped two notches, and a {species} temper the younger ones are starting to copy.","Jefe, versión corta: [b]{name}[/b] quiere combates. Versión larga: [b]{apps} participaciones en {cm}[/b] partidos, una intensidad de entrenamiento que ha bajado dos puntos y un genio de {species} que los jóvenes empiezan a imitar."
"Boss — the physios noticed it first, the coaches second: [b]{name}[/b] ({species}, Lv {level}) has downed tools. You can trace it straight to the team sheets — [b]{apps} of {cm}[/b] this season. They feel forgotten, and honestly, the numbers back them up.","Jefe: lo notaron primero los fisios y después los entrenadores: [b]{name}[/b] ({species}, Nv. {level}) ha dejado de remar. Se puede rastrear directo hasta las alineaciones: [b]{apps} de {cm}[/b] esta temporada. Se siente olvidado y, sinceramente, los números le dan la razón."
"Boss — before the press smell it: [b]{name}[/b] is unhappy. [b]{apps} matches out of {cm}[/b] is thin for a battler of that standing, and the mood has curdled from patient to pointed. Whatever you decide, decide it soon.","Jefe: antes de que la prensa lo huela: [b]{name}[/b] está descontento. [b]{apps} partidos de {cm}[/b] es poco para un combatiente de su categoría, y el ánimo ha pasado de paciente a cortante. Decidas lo que decidas, decídelo pronto."
"Boss — I'll give it to you straight. [b]{name}[/b] ({species}, Lv {level}) believes the club has moved on without saying so — [b]{apps} of {cm}[/b] matches tells its own story. A word from you, either way, beats this silence.","Jefe: te lo digo sin rodeos. [b]{name}[/b] ({species}, Nv. {level}) cree que el club ha pasado página sin decirlo: [b]{apps} de {cm}[/b] partidos cuentan su propia historia. Una palabra tuya, en un sentido u otro, es mejor que este silencio."
{name} is unhappy at the lack of battles,{name} está descontento por la falta de combates
{name} wants more battles — coach asks for a steer,{name} quiere más combates; el entrenador pide instrucciones
Squad concern: {name} frustrated by selection,"Inquietud en la plantilla: {name}, frustrado con las alineaciones"
{name} growing restless on the bench,{name} se impacienta en el banquillo
Coach flags {name}'s frustration,El entrenador avisa de la frustración de {name}
{coach} has asked to speak with you about a member of the squad.,{coach} ha pedido hablar contigo sobre un miembro de la plantilla.
{coach} flags a growing selection problem.,{coach} avisa de un problema creciente con las alineaciones.
A welfare note from {coach} — one of the squad is unsettled.,Una nota de bienestar de {coach}: hay alguien inquieto en la plantilla.
{coach} wants a decision on an unhappy battler.,{coach} quiere una decisión sobre un combatiente descontento.
"Boss — thought you'd want this one in writing. [b]{name}[/b] ({species}, Lv {level}) has been outstanding. Across the last [b]{n}[/b] matches: [b]{kos} KOs[/b] and an average match rating of [b]{rating}[/b]. Technique, timing, temperament — everything we drill is showing up on matchday.","Jefe: he pensado que querrías esto por escrito. [b]{name}[/b] ({species}, Nv. {level}) está sobresaliente. En los últimos [b]{n}[/b] partidos: [b]{kos} KO[/b] y una nota media de [b]{rating}[/b]. Técnica, tiempos, temperamento: todo lo que entrenamos aparece el día de partido."
"Boss — some weeks this job is a pleasure. [b]{name}[/b] ({species}, Lv {level}) is flying: [b]{kos} KOs[/b] over the last [b]{n}[/b] matches and a [b]{rating}[/b] average rating. The whole staff room has noticed.","Jefe: hay semanas en que este trabajo es un placer. [b]{name}[/b] ({species}, Nv. {level}) está volando: [b]{kos} KO[/b] en los últimos [b]{n}[/b] partidos y una nota media de [b]{rating}[/b]. Toda la sala de técnicos lo ha notado."
"Boss — a quick note for the file. If you're wondering who sets the standard in training right now, it's [b]{name}[/b]. The numbers agree: [b]{n}[/b] matches, [b]{kos} KOs[/b], rating [b]{rating}[/b]. That's not a purple patch, that's a level.","Jefe: una nota rápida para el expediente. Si te preguntas quién marca el nivel en los entrenamientos ahora mismo, es [b]{name}[/b]. Los números lo confirman: [b]{n}[/b] partidos, [b]{kos} KO[/b], nota [b]{rating}[/b]. Eso no es una racha: es un nivel."
"Boss — I've coached a lot of {species}, and [b]{name}[/b] is doing things most of them never manage. Last [b]{n}[/b] matches: [b]{kos} KOs[/b], average rating [b]{rating}[/b]. Composure under pressure is the part you can't teach — and they have it.","Jefe: he entrenado a muchos {species}, y [b]{name}[/b] hace cosas que la mayoría no consigue nunca. Últimos [b]{n}[/b] partidos: [b]{kos} KO[/b], nota media [b]{rating}[/b]. La sangre fría bajo presión es lo que no se puede enseñar... y la tiene."
"Boss — credit where it's due, and this is due. [b]{name}[/b] (Lv {level}) has turned good training into great matchdays: [b]{kos} KOs[/b] in [b]{n}[/b] outings, rating [b]{rating}[/b]. The rest of the squad raises its game just watching.","Jefe: al César lo que es del César, y esto lo es. [b]{name}[/b] (Nv. {level}) ha convertido buenos entrenamientos en grandes jornadas: [b]{kos} KO[/b] en [b]{n}[/b] salidas, nota [b]{rating}[/b]. El resto de la plantilla sube el nivel solo con mirarlo."
"Boss — you asked us to develop battlers, not just select them. Exhibit A: [b]{name}[/b]. Over [b]{n}[/b] recent matches — [b]{kos} KOs[/b], a [b]{rating}[/b] rating, and decision-making that has jumped a level.","Jefe: nos pediste desarrollar combatientes, no solo alinearlos. Prueba número uno: [b]{name}[/b]. En los últimos [b]{n}[/b] partidos: [b]{kos} KO[/b], nota [b]{rating}[/b] y una toma de decisiones que ha subido un escalón."
